parcel_id,address,lat,lng,geocoder
003-3137-6,2330 THIRD ST,31.3033668,-92.43549999999999,google
003-0115-9,PO BOX 548,32.3610979,-92.2982679,google
003-6423-1,2734 ARBUTUS AVE,30.47156249999999,-91.18174619999999,google
003-8279-5,2615 SORREL AVE,30.4705219,-91.1811829,google
004-8817-8,2729 LARKSPUR AVE,30.4716607,-91.1802563,google
002-2632-7,10705 LEIGH ELLEN AVE,30.3736681,-91.0937701,google
001-2750-7,10748 PERKINS RD,30.3749543,-91.09261959999999,google
002-2609-2,10713 LEIGH ELLEN AVE,30.3734904,-91.0933088,google
000-9767-5,1701 O'BRIEN DR,30.37377889999999,-91.0945998,google
002-2594-0,1717 GREENBRIAR HOLLOW DR,30.3732123,-91.0927478,google
014-8867-8,10710 N GREAT OAK CT,30.3129231,-90.8765086,google
001-0249-0,1673 O'BRIEN DR,30.3734168,-91.0948244,google
014-8910-0,1739 GREAT OAK DR,30.3735533,-91.0919601,google
014-9141-5,1834 RIDGELAND DR,30.3739408,-91.0898328,google
000-4937-9,10925 PERKINS RD,30.3751785,-91.08994159999999,google
000-9578-8,1731 O'BRIEN DR,30.3741778,-91.0943727,google
000-9376-9,1781 O'BRIEN DR,30.3747956,-91.0940225,google
000-9334-3,10611 MCGUIRE AVE,30.3752425,-91.0938274,google
000-9069-7,1790 O'BRIEN DR,30.3746704,-91.0934735,google
014-8868-6,10720 N GREAT OAK CT,30.3129231,-90.8765086,google
014-8870-8,1813 GREAT OAK DR,30.3741852,-91.09152259999999,google
002-2600-9,10717 LEIGH ELLEN AVE,30.3733873,-91.0930791,google
000-4939-5,10889 PERKINS RD,30.3754336,-91.09030249999999,google
000-9281-9,10621 MCGUIRE AVE,30.3752114,-91.093684,google
001-6355-4,1672 O'BRIEN DR,30.3731364,-91.0943559,google
014-8987-9,1768 GREAT OAK DR,30.3737584,-91.0911271,google
000-9766-7,1711 O'BRIEN DR,30.3739443,-91.0945421,google
014-9099-0,1738 GREAT OAK DR,30.3731719,-91.0914646,google
000-8460-3,1750 O'BRIEN DR,30.3741968,-91.0937259,google
000-4936-0,10935 PERKINS RD,30.3750074,-91.08983429999999,google
002-2595-9,10727 LEIGH ELLEN AVE,30.373276,-91.0928618,google
000-9358-0,1791 O'BRIEN DR,30.3748999,-91.0939523,google
002-2606-8,10715 LEIGH ELLEN AVE,30.3734318,-91.093198,google
002-2625-4,10707 LEIGH ELLEN AVE,30.3736281,-91.0936536,google
